txn_id,account_id,txn_type,amount,created_at
1001,101,DEPOSIT,5000.00,2026-01-06 10:00:00
1002,101,WITHDRAWAL,250.75,2026-01-08 15:30:00
1003,101,PAYMENT,120.00,2026-01-12 09:15:00
1004,102,DEPOSIT,15000.00,2026-01-06 11:00:00
1005,102,TRANSFER,-500.00,2026-01-20 13:25:00
1006,103,DEPOSIT,3200.50,2026-01-11 10:45:00
1007,103,WITHDRAWAL,700.00,2026-01-18 17:20:00
1008,104,DEPOSIT,1000.00,2026-01-16 09:00:00
1009,104,PAYMENT,150.00,2026-01-22 12:10:00
1010,105,DEPOSIT,25000.00,2026-01-16 09:30:00
1011,105,INTEREST,125.50,2026-02-01 00:00:00
1012,106,DEPOSIT,7000.00,2026-02-02 14:00:00
1013,106,WITHDRAWAL,249.75,2026-02-08 18:30:00
1014,107,DEPOSIT,12000.00,2026-02-06 09:15:00
1015,107,TRANSFER,-1000.00,2026-02-20 16:45:00
1016,108,DEPOSIT,5000.00,2026-02-11 10:00:00
1017,108,PAYMENT,699.25,2026-02-15 13:20:00
1018,109,DEPOSIT,10000.00,2026-02-16 08:00:00
1019,109,WITHDRAWAL,200.00,2026-02-25 19:00:00
1020,110,DEPOSIT,35000.00,2026-03-02 12:30:00
1021,110,INTEREST,350.00,2026-03-31 00:00:00
